mass No Yp H2/H He3/H Li7/H Li6/H Be7/H 
4.11 1 2.496e-01 2.601e-05 1.050e-05 5.108e-10 1.159e-14 4.804e-10 
4.11 2 2.515e-01 2.732e-05 1.071e-05 4.857e-10 1.229e-14 4.535e-10 
4.11 3 2.512e-01 2.714e-05 1.069e-05 4.884e-10 1.219e-14 4.565e-10 
4.11 4 2.549e-01 3.010e-05 1.107e-05 4.361e-10 1.377e-14 4.009e-10 
4.21 1 2.496e-01 2.598e-05 1.049e-05 5.113e-10 1.158e-14 4.809e-10 
4.21 2 2.514e-01 2.728e-05 1.070e-05 4.865e-10 1.226e-14 4.544e-10 
4.21 3 2.512e-01 2.711e-05 1.069e-05 4.891e-10 1.217e-14 4.572e-10 
4.21 4 2.548e-01 3.003e-05 1.106e-05 4.373e-10 1.373e-14 4.022e-10 
4.31 1 2.495e-01 2.596e-05 1.049e-05 5.117e-10 1.157e-14 4.813e-10 
4.31 2 2.513e-01 2.722e-05 1.070e-05 4.874e-10 1.223e-14 4.553e-10 
4.31 3 2.511e-01 2.707e-05 1.068e-05 4.898e-10 1.215e-14 4.580e-10 
4.31 4 2.547e-01 2.996e-05 1.105e-05 4.385e-10 1.369e-14 4.035e-10 
4.41 1 2.495e-01 2.594e-05 1.049e-05 5.122e-10 1.155e-14 4.817e-10 
4.41 2 2.513e-01 2.715e-05 1.070e-05 4.882e-10 1.220e-14 4.563e-10 
4.41 3 2.511e-01 2.704e-05 1.067e-05 4.905e-10 1.214e-14 4.587e-10 
4.41 4 2.547e-01 2.989e-05 1.103e-05 4.398e-10 1.365e-14 4.048e-10 
4.51 1 2.495e-01 2.592e-05 1.049e-05 5.126e-10 1.154e-14 4.822e-10 
4.51 2 2.512e-01 2.711e-05 1.069e-05 4.891e-10 1.218e-14 4.572e-10 
4.51 3 2.510e-01 2.700e-05 1.067e-05 4.912e-10 1.212e-14 4.595e-10 
4.51 4 2.546e-01 2.981e-05 1.102e-05 4.410e-10 1.361e-14 4.062e-10 
4.61 1 2.495e-01 2.589e-05 1.049e-05 5.130e-10 1.153e-14 4.826e-10 
4.61 2 2.512e-01 2.707e-05 1.068e-05 4.899e-10 1.216e-14 4.580e-10 
4.61 3 2.510e-01 2.697e-05 1.066e-05 4.919e-10 1.210e-14 4.602e-10 
4.61 4 2.545e-01 2.974e-05 1.101e-05 4.422e-10 1.357e-14 4.075e-10 
4.71 1 2.494e-01 2.587e-05 1.048e-05 5.135e-10 1.152e-14 4.831e-10 
4.71 2 2.511e-01 2.703e-05 1.067e-05 4.907e-10 1.214e-14 4.589e-10 
