mass No Yp H2/H He3/H Li7/H Li6/H Be7/H 
6.01 1 2.467e-01 2.363e-05 1.018e-05 5.646e-10 1.038e-14 5.369e-10 
6.01 2 2.458e-01 2.294e-05 1.007e-05 5.818e-10 1.004e-14 5.548e-10 
6.01 3 2.459e-01 2.297e-05 1.007e-05 5.809e-10 1.005e-14 5.538e-10 
6.01 4 2.447e-01 2.188e-05 9.918e-06 6.092e-10 9.522e-15 5.835e-10 
6.11 1 2.468e-01 2.365e-05 1.018e-05 5.642e-10 1.039e-14 5.365e-10 
6.11 2 2.459e-01 2.297e-05 1.007e-05 5.811e-10 1.005e-14 5.540e-10 
6.11 3 2.459e-01 2.300e-05 1.008e-05 5.803e-10 1.007e-14 5.532e-10 
6.11 4 2.448e-01 2.191e-05 9.924e-06 6.082e-10 9.541e-15 5.824e-10 
6.21 1 2.468e-01 2.366e-05 1.018e-05 5.639e-10 1.040e-14 5.361e-10 
6.21 2 2.459e-01 2.300e-05 1.008e-05 5.804e-10 1.007e-14 5.533e-10 
6.21 3 2.459e-01 2.303e-05 1.008e-05 5.796e-10 1.008e-14 5.525e-10 
6.21 4 2.448e-01 2.195e-05 9.930e-06 6.072e-10 9.560e-15 5.813e-10 
6.31 1 2.468e-01 2.368e-05 1.018e-05 5.635e-10 1.041e-14 5.357e-10 
6.31 2 2.459e-01 2.302e-05 1.008e-05 5.797e-10 1.008e-14 5.526e-10 
6.31 3 2.460e-01 2.305e-05 1.009e-05 5.790e-10 1.009e-14 5.518e-10 
6.31 4 2.449e-01 2.199e-05 9.935e-06 6.061e-10 9.579e-15 5.802e-10 
6.41 1 2.468e-01 2.369e-05 1.019e-05 5.631e-10 1.042e-14 5.353e-10 
6.41 2 2.460e-01 2.305e-05 1.008e-05 5.791e-10 1.009e-14 5.519e-10 
6.41 3 2.460e-01 2.308e-05 1.009e-05 5.784e-10 1.011e-14 5.512e-10 
6.41 4 2.449e-01 2.203e-05 9.941e-06 6.051e-10 9.598e-15 5.791e-10 
6.51 1 2.468e-01 2.371e-05 1.019e-05 5.627e-10 1.042e-14 5.349e-10 
6.51 2 2.460e-01 2.308e-05 1.009e-05 5.784e-10 1.011e-14 5.512e-10 
6.51 3 2.460e-01 2.310e-05 1.009e-05 5.777e-10 1.012e-14 5.505e-10 
6.51 4 2.450e-01 2.207e-05 9.943e-06 6.041e-10 9.620e-15 5.781e-10 
6.61 1 2.469e-01 2.372e-05 1.019e-05 5.624e-10 1.043e-14 5.346e-10 
6.61 2 2.461e-01 2.310e-05 1.009e-05 5.778e-10 1.012e-14 5.506e-10 
6.61 3 2.461e-01 2.313e-05 1.010e-05 5.771e-10 1.013e-14 5.499e-10 
6.61 4 2.450e-01 2.211e-05 9.949e-06 6.031e-10 9.639e-15 5.771e-10 
6.71 1 2.469e-01 2.374e-05 1.019e-05 5.620e-10 1.044e-14 5.342e-10 
6.71 2 2.461e-01 2.313e-05 1.010e-05 5.771e-10 1.013e-14 5.499e-10 
6.71 3 2.461e-01 2.315e-05 1.010e-05 5.765e-10 1.014e-14 5.492e-10 
6.71 4 2.451e-01 2.215e-05 9.955e-06 6.020e-10 9.657e-15 5.760e-10 
6.81 1 2.469e-01 2.375e-05 1.020e-05 5.617e-10 1.045e-14 5.338e-10 
6.81 2 2.461e-01 2.315e-05 1.010e-05 5.765e-10 1.015e-14 5.492e-10 
6.81 3 2.462e-01 2.318e-05 1.010e-05 5.759e-10 1.016e-14 5.487e-10 
6.81 4 2.451e-01 2.219e-05 9.961e-06 6.010e-10 9.676e-15 5.749e-10 
6.91 1 2.469e-01 2.377e-05 1.020e-05 5.613e-10 1.046e-14 5.335e-10 
6.91 2 2.462e-01 2.318e-05 1.010e-05 5.758e-10 1.016e-14 5.485e-10 
6.91 3 2.462e-01 2.320e-05 1.011e-05 5.753e-10 1.017e-14 5.480e-10 
6.91 4 2.452e-01 2.224e-05 9.960e-06 6.001e-10 9.701e-15 5.739e-10 
7.01 1 2.470e-01 2.378e-05 1.020e-05 5.610e-10 1.046e-14 5.331e-10 
7.01 2 2.462e-01 2.320e-05 1.011e-05 5.752e-10 1.017e-14 5.479e-10 
7.01 3 2.462e-01 2.323e-05 1.011e-05 5.747e-10 1.018e-14 5.474e-10 
